 ID,Name,Duration,Start,Finish,Predecessors,Resources,Custom 1,Custom 2,Custom 3,Custom 4,Custom 5,
1,Collect Resumes Data,3days?,03/05/2019,03/07/2019,,,,,,,,
2,Create Google Forms,1day?,03/05/2019,03/05/2019,,,,,,,,
3,Share Google form link ,1day?,03/06/2019,03/06/2019,2,,,,,,,
4,Organize the data in Google SpreadSheet,1day?,03/07/2019,03/07/2019,3,,,,,,,
5,Process Submitted Resumes Data,5days?,03/08/2019,03/14/2019,1,,,,,,,
6,Create processing algorithms,2days?,03/08/2019,03/11/2019,,,,,,,,
7,Generate Resumes in a format (PDF / Word),1day?,03/14/2019,03/14/2019,6FS+2days,,,,,,,
8,Display Resume in HTML format,1day?,03/12/2019,03/12/2019,6,,,,,,,
9,Find Template,1day?,03/12/2019,03/12/2019,,,,,,,,
10,Get data from the processing algorithms in JSON,1day?,03/12/2019,03/12/2019,,,,,,,,
11,Edit template to handle JSON data,1day?,03/12/2019,03/12/2019,,,,,,,,
12,Finally display the resume data in HTML,1day?,03/12/2019,03/12/2019,,,,,,,,
13,Allow users to download resumes,2days?,03/13/2019,03/14/2019,8,,,,,,,
14,Add multiple designs ,2days?,03/13/2019,03/14/2019,,,,,,,,
15,Allow user to choose a design,2days?,03/13/2019,03/14/2019,,,,,,,,
16,Create download button ,2days?,03/13/2019,03/14/2019,,,,,,,,
17,Transform template from HTML to PDF,2days?,03/13/2019,03/14/2019,,,,,,,,
