 ID,Nom,Durée,Début,Fin,Prédécesseurs,Ressources,Personnalisé 1,Personnalisé 2,Personalisé 3,Personalisé 4,Personalisé 5,
1,Générateur de CV,4journées?,03/08/2019,03/13/2019,,,,,,,,
2,Collecte des CV,4journées?,03/08/2019,03/13/2019,,,,,,,,
3,conception formulaire,4journées?,03/08/2019,03/13/2019,,,,,,,,
4,créer des comptes,4journées?,03/08/2019,03/13/2019,,,,,,,,
5,créer un compte netvibes,1journée?,03/08/2019,03/08/2019,,,,,,,,
6,créer un compte diigo,4journées?,03/08/2019,03/13/2019,,,,,,,,
7,créer un compte github,1journée?,03/08/2019,03/08/2019,,,,,,,,
8, cloner sur votre machine le projet Github,1journée?,03/08/2019,03/08/2019,,,,,,,,
9,Ajouter un répertoire Github,2journées?,03/11/2019,03/12/2019,7,,,,,,,
10,Ajouter un dossier veille ,1journée?,03/11/2019,03/11/2019,,,,,,,,
11,votre dashboard,1journée?,03/12/2019,03/12/2019,10,,,,,,,
12,créer des issues dans Github,1journée?,03/13/2019,03/13/2019,11,,,,,,,
13,créer un formulaire CV google ,1journée?,03/08/2019,03/08/2019,,,,,,,,
14,Répondre aux formulaires CV ,1journée?,03/08/2019,03/08/2019,,,,,,,,
15,Mettre à disposition les réponses des formulaires,1journée?,03/08/2019,03/08/2019,,,,,,,,
16,Création d'un diagramme de Gantt,1journée?,03/08/2019,03/08/2019,,,,,,,,
17,Remplir le diagramme de Gantt,1journée?,03/08/2019,03/08/2019,,,,,,,,
18,Exportation du diagramme de Gantt,1journée?,03/08/2019,03/08/2019,,,,,,,,
19," Développement des algorithmes",1journée?,03/08/2019,03/08/2019,,,,,,,,
20," Récupération des données",1journée?,03/08/2019,03/08/2019,,,,,,,,
21,Traitement des données,1journée?,03/08/2019,03/08/2019,,,,,,,,
