 ID,Nom,Durée,Début,Fin,Prédécesseurs,Ressources,Personnalisé 1,Personnalisé 2,Personalisé 3,Personalisé 4,Personalisé 5,
1,Créer un compte Netvibes,1heure,04/03/2019,04/03/2019,,,,,,,,
2,Créer un compte Diigo,1heure,04/03/2019,04/03/2019,,,,,,,,
3,Générateur de CV,3.63journées?,04/03/2019,07/03/2019,,"tamom,ordinateur[1],connexion[1]",,,,,,
4,Collecte des CV,1.63journées?,04/03/2019,05/03/2019,,,,,,,,
5,Conception du formulaire,0.63journée,04/03/2019,04/03/2019,,,,,,,,
6,Clonner un projet GitHub,0.25journée,04/03/2019,04/03/2019,,,,,,,,
7,Créer un compte GitHub,1heure,04/03/2019,04/03/2019,,,,,,,,
8,Demander d'être ajouter comme collaborateur,1heure,04/03/2019,04/03/2019,7,,,,,,,
9,Répondre aux différents formulaires CV,4heures,04/03/2019,04/03/2019,,,,,,,,
10,Mettre à disposition les réponses des formulaires,1heure,04/03/2019,04/03/2019,9,,,,,,,
11,Diffusion des données,1journée?,04/03/2019,05/03/2019,5,,,,,,,
12,Création d'un diagramme de Gantt,0.25journée,04/03/2019,04/03/2019,,,,,,,,
13,Remplir le diagramme de Gantt,1heure,04/03/2019,04/03/2019,,,,,,,,
14,Exportation du diagramme de Gantt,1heure,04/03/2019,04/03/2019,13,,,,,,,
15,Développement des algorithmes,2journées?,05/03/2019,07/03/2019,4,,,,,,,
16,Récupération des données,1journée?,05/03/2019,06/03/2019,,,,,,,,
17,Traitement des données,1journée?,05/03/2019,06/03/2019,,,,,,,,
18,Mise en forme des données,1journée?,06/03/2019,07/03/2019,"16,17",,,,,,,
19,Publier le CV,1heure,04/03/2019,04/03/2019,,,,,,,,
