 ID,Nom,Durée,Début,Fin,Prédécesseurs,Ressources,Personnalisé 1,Personnalisé 2,Personalisé 3,Personalisé 4,Personalisé 5,
1,Créer  un compte github,2journées?,03/11/2019,03/12/2019,,,,,,,,
2,creer un dossier pour la veille informatique,2journées?,03/11/2019,03/12/2019,,,,,,,,
3,creer un compte diigo,1journée?,03/12/2019,03/12/2019,,,,,,,,
4,creer un compte netvibes,1journée?,03/12/2019,03/12/2019,,,,,,,,
5,Creation liste de taches,2journées?,03/12/2019,03/13/2019,,,,,,,,
6,creer un formulaire de cv,2journées?,03/12/2019,03/13/2019,,,,,,,,
7,collecter les reponses,1journée?,03/12/2019,03/12/2019,,,,,,,,
8,creer un lien au format csv,1journée?,03/12/2019,03/12/2019,,,,,,,,
9,mettre le lien sur github,1journée?,03/12/2019,03/12/2019,,,,,,,,
10,faire des modifications sur le formulaire,2journées?,03/13/2019,03/14/2019,,,,,,,,
11,Installer client github,1journée?,03/13/2019,03/13/2019,,,,,,,,
12,cloner la machine dans le serveur local,1journée?,03/13/2019,03/13/2019,,,,,,,,
13,Trouver un template responsive pour le modele de cv,1journée?,03/12/2019,03/12/2019,,,,,,,,
14,enrgistrer dans un repertoire dans notre dossier github,1journée?,03/12/2019,03/12/2019,,,,,,,,
15,verifier si le template fonctionne,1journée?,03/12/2019,03/12/2019,,,,,,,,
16,comiter sur github,1journée?,03/12/2019,03/12/2019,,,,,,,,
17,regarder fonctionnemnet de D js,1journée?,03/12/2019,03/12/2019,,,,,,,,
18,mettre a jour le gant,1journée?,03/12/2019,03/12/2019,,,,,,,,
